model,expansion_algo,batch_size,top_n_uncertain,final_expansion_size,classification_algo,accuracy,precision_weighted,recall_weighted,f1_score_weighted,,precision_micro,recall_micro,f1_score_micro
models/ft_unsupervised_N_3.bin,lr,20,1,154,knn,0.597542243,0.591246096,0.597542243,0.558624593,,0.597542243,0.597542243,0.597542243
models/ft_unsupervised_N_3.bin,lr,20,2,282,lr,0.731182796,0.733002316,0.731182796,0.73180098,,0.731182796,0.731182796,0.731182796
models/ft_unsupervised_N_3.bin,lr,20,2,282,svm,0.705069124,0.717938932,0.705069124,0.706279984,,0.705069124,0.705069124,0.705069124
models/ft_unsupervised_N_3.bin,lr,20,2,282,knn,0.594470046,0.58503598,0.594470046,0.566495237,,0.594470046,0.594470046,0.594470046
models/ft_unsupervised_N_3.bin,lr,20,5,666,lr,0.728110599,0.728226355,0.728110599,0.728166752,,0.728110599,0.728110599,0.728110599
models/ft_unsupervised_N_3.bin,lr,20,5,666,svm,0.74500768,0.743962624,0.74500768,0.744135922,,0.74500768,0.74500768,0.74500768
models/ft_unsupervised_N_3.bin,lr,20,5,666,knn,0.64516129,0.64791205,0.64516129,0.62235239,,0.64516129,0.64516129,0.64516129
models/ft_unsupervised_N_3.bin,lr,30,1,111,lr,0.732718894,0.732723635,0.732718894,0.728198571,,0.732718894,0.732718894,0.732718894
models/ft_unsupervised_N_3.bin,lr,30,1,111,svm,0.625192012,0.705255318,0.625192012,0.610078787,,0.625192012,0.625192012,0.625192012
models/ft_unsupervised_N_3.bin,lr,30,1,111,knn,0.588325653,0.579044248,0.588325653,0.575487257,,0.588325653,0.588325653,0.588325653
